AuthorID,Avg_Reference_Count,Avg_Citation_Count,Num_Of_Paper_Before_2015,Avg_C5,Avg_Log10_C5,Max_C5,Avg_Disruption,Avg_WSB_Cinf,Avg_WSB_mu,Avg_WSB_sigma,Avg_SB_B,Avg_SB_T,Total_NSF_Count,First_Publication_Year
1961546495,5.5277777777777795,1.154471544715447,252,0.015873015873015869,0.0047782538994282728,1,2.2222222222222223,45.046144380639859,,,35.5,0,0,1800
2106417300,0.82608695652173925,1,23,2.956521739130435,0.24594230634281955,26,1.0434782608695652,1.3571428571428572,6.25,21.986985790481327,2.7142857142857144,0,0,1800
2345100099,30.406125166444749,5.6108033240997228,751,0.17842876165113178,0.0087839501985751862,48,2.336884154460718,31.78629279095879,,,29.434782608695652,0.0026631158455392816,129,1800
447365182,2.1531531531531534,0.35967302452316069,777,0.09009009009009003,0.004554148949558373,63,2.2110682110682114,22.9375,,,36.375,0,0,1800
2212473169,50.971910112359559,28.549999999999997,178,33.617977528089881,1.0974010147054936,739,2.4325842696629221,4.9419128150342457,272.929203539823,79.364590258109828,6.34920634920635,0.011235955056179778,425,1800
2301981031,26.499999999999996,2.8464818763326241,488,0,0,0,2.30532786885246,51.340846971678644,,,32.374999999999993,0.030737704918032786,0,1801
1940901819,3.3394495412844036,2.2692307692307692,109,2.7431192660550452,0.15463454897525813,161,1.4036697247706422,3.9402173913043481,3.75,24.161358759156336,5.1304347826086953,0,0,1801
2274988087,0.75,0,8,0,0,0,1.125,,,,,0,0,1802
2342790541,3.2123142250530776,0.34267241379310331,471,0,0,0,2.5010615711252657,55.458976190476186,,,66,0.0084925690021231456,0,1802
2163112445,1.2500000000000002,0.66666666666666663,16,0.74999999999999989,0.0696214595191773,12,1.6249999999999998,14,4,16.443697910541758,14,0,0,1802
2344032275,2.4047235641438549,0.40389150943396218,1863,0.039184111647879764,0.00424265255968747,28,2.5743424584004289,16.585277427490539,12,6.36876536775778,23.115384615384617,0.0037573805689747712,0,1802
2152704555,12.539130434782608,1.8532110091743119,115,0,0,0,2.3826086956521739,,,,,0.417391304347826,0,1803
182543558,16.999999999999996,7.7586206896551708,122,22.204918032786885,0.14398050156440129,993,1.9590163934426221,10.100000000000001,,,13.4,0,0,1803
311143461,4.0833333333333313,0.65573770491803285,72,0,0,0,2.3333333333333344,42.05381944444445,,,46,0,92,1804
1977586522,6.6341463414634134,0.83471074380165311,123,0,0,0,2.2195121951219519,20,,,40,0,0,1805
750919127,5.0218978102189782,1.0327868852459017,137,0.59854014598540128,0.014007869287416595,82,2.2116788321167884,16.166666666666668,,,29.333333333333336,0,0,1806
2342216495,2.2699999999999996,0.46276595744680854,200,0,0,0,3.2900000000000005,30,,,60,0,0,1807
2177519397,3.545687446626816,0.36746987951807236,1171,0.0093936806148590922,0.0013290371483922179,8,2.0486763450042704,41.708268946979636,,,50.875,0,0,1807
720531504,3.9801324503311264,0.534136546184739,302,0,0,0,2.1589403973509933,1.75,,,3.5,0,0,1810
2525335017,8.2083333333333357,1.1312499999999992,192,0.40624999999999989,0.01815479909625823,44,2.203125,15.5,,,31,0,0,1813
250801477,0.63709677419354871,0.089430894308943062,124,0,0,0,1.7419354838709677,,,,,0,0,1815
2247481022,1.3781818181818182,0.20907297830374749,550,0.0072727272727272745,0.0012708545533382165,4,2.1090909090909093,,,,,0.0018181818181818175,0,1816
2433465674,7,0,1,0,0,0,2,,,,,0,0,1818
414088516,15.4,0,5,0,0,0,2,,,,,0,0,1818
2109246749,7,0,1,0,0,0,2,,,,,0,0,1818
2103608249,2.4571428571428573,1.25,35,1.0571428571428569,0.063727112039379252,33,1.8285714285714285,4.166666666666667,33,9.4339811320566032,5.5,0.085714285714285715,0,1820
2163647857,34.846625766871178,8.4876033057851252,163,12.085889570552149,0.22401640042066859,153,2.128834355828221,9.90208185838438,6,9.1541319076908358,9.6785714285714288,0.042944785276073642,0,1820
2438476567,2.9323467230443963,0.24295010845986995,473,0,0,0,1.9513742071881612,28.249999999999996,,,27.5,0,0,1823
2111974836,1.0638297872340423,0.3249999999999999,47,0.063829787234042562,0.019214680574296671,1,1.5319148936170213,7.25,,,14.5,0,0,1823
305622547,15.020833333333329,3.0985915492957727,96,0,0,0,1.4062500000000007,115.19854469854471,,,163.92307692307693,0,0,1825
411610982,3.3162393162393169,0.51785714285714268,117,0,0,0,2.2307692307692308,10.5,,,21,0.0085470085470085479,0,1828
2158849122,25.02392344497607,16.212534059945508,418,16.327751196172251,0.74612062666887669,164,4.6674641148325362,4.7765812205690779,248.63084112149522,99.37201669036844,5.1149825783972132,0.75837320574162692,173,1828
2489709517,0.61944444444444413,0.13881019830028329,360,0.0027777777777777792,0.00083619443239994816,1,2.0333333333333328,92,,,93,0.0055555555555555584,0,1829
2573439273,3.3333333333333335,0.45918367346938788,108,0.018518518518518521,0.0055746295493329864,1,1.3888888888888891,11.953265765765765,,,19.625,0.018518518518518521,0,1829
2178894551,3.539083557951483,0.38805970149253738,371,0.010781671159029648,0.0018840161841941199,4,2.7115902964959564,14.333333333333336,,,28.666666666666668,0.016172506738544475,0,1829
2329261501,59.511154855643042,36.381282495667243,1524,23.242782152230959,1.0231803396948498,382,6.3681102362204722,3.7333153471070748,172.64049195837276,111.09664346243586,4.0513866231647633,1.5223097112860888,836,1830
246898146,3.7679999999999989,0.27642276422764234,125,0,0,0,2.464,49.8,,,57.4,0,0,1831
2889787614,9.4210526315789469,0.052631578947368432,19,0,0,0,1.1578947368421055,,,,,0,0,1831
