AuthorID,Avg_Reference_Count,Avg_Citation_Count,Num_Of_Paper_Before_2015,Avg_C5,Avg_Log10_C5,Max_C5,Avg_Disruption,Avg_WSB_Cinf,Avg_WSB_mu,Avg_WSB_sigma,Avg_SB_B,Avg_SB_T,Total_NSF_Count,First_Publication_Year
1961546495,5.52777777777778,1.154471544715447,252,0.0158730158730158,0.0047782538994282,1.0,2.2222222222222223,45.04614438063986,,,35.5,0.0,0,1800
2106417300,0.8260869565217392,1.0,23,2.956521739130435,0.2459423063428195,26.0,1.0434782608695652,1.3571428571428572,6.25,21.986985790481327,2.7142857142857144,0.0,0,1800
2345100099,30.40612516644475,5.610803324099723,751,0.1784287616511317,0.0087839501985751,48.0,2.336884154460718,31.78629279095879,,,29.43478260869565,0.0026631158455392,129,1800
447365182,2.1531531531531534,0.3596730245231606,777,0.09009009009009,0.0045541489495583,63.0,2.2110682110682114,22.9375,,,36.375,0.0,0,1800
2212473169,50.97191011235956,28.55,178,33.61797752808988,1.0974010147054936,739.0,2.432584269662922,4.941912815034246,272.929203539823,79.36459025810983,6.34920634920635,0.0112359550561797,425,1800
2301981031,26.5,2.846481876332624,488,0.0,0.0,0.0,2.30532786885246,51.34084697167864,,,32.37499999999999,0.0307377049180327,0,1801
1940901819,3.339449541284404,2.2692307692307687,109,2.7431192660550447,0.1546345489752581,161.0,1.4036697247706422,3.940217391304348,3.75,24.161358759156336,5.130434782608695,0.0,0,1801
2274988087,0.75,0.0,8,0.0,0.0,0.0,1.125,,,,,0.0,0,1802
2342790541,3.2123142250530776,0.3426724137931033,471,0.0,0.0,0.0,2.5010615711252657,55.458976190476186,,,66.0,0.0084925690021231,0,1802
2163112445,1.2500000000000002,0.6666666666666666,16,0.7499999999999998,0.0696214595191773,12.0,1.6249999999999998,14.0,4.0,16.443697910541758,14.0,0.0,0,1802
2344032275,2.404723564143855,0.4038915094339621,1863,0.0391841116478797,0.0042426525596874,28.0,2.574342458400429,16.58527742749054,12.0,6.36876536775778,23.115384615384617,0.0037573805689747,0,1802
2152704555,12.539130434782608,1.853211009174312,115,0.0,0.0,0.0,2.3826086956521735,,,,,0.417391304347826,0,1803
182543558,16.999999999999996,7.758620689655171,122,22.204918032786885,0.1439805015644012,993.0,1.959016393442622,10.1,,,13.4,0.0,0,1803
311143461,4.083333333333331,0.6557377049180328,72,0.0,0.0,0.0,2.3333333333333344,42.05381944444445,,,46.0,0.0,92,1804
1977586522,6.6341463414634125,0.8347107438016531,123,0.0,0.0,0.0,2.219512195121952,20.0,,,40.0,0.0,0,1805
750919127,5.021897810218977,1.0327868852459017,137,0.5985401459854012,0.0140078692874165,82.0,2.2116788321167884,16.166666666666668,,,29.333333333333336,0.0,0,1806
2342216495,2.27,0.4627659574468085,200,0.0,0.0,0.0,3.2900000000000005,30.0,,,60.0,0.0,0,1807
2177519397,3.545687446626816,0.3674698795180723,1171,0.009393680614859,0.0013290371483922,8.0,2.0486763450042704,41.70826894697964,,,50.875,0.0,0,1807
720531504,3.9801324503311264,0.534136546184739,302,0.0,0.0,0.0,2.1589403973509933,1.75,,,3.5,0.0,0,1810
2525335017,8.208333333333334,1.1312499999999992,192,0.4062499999999998,0.0181547990962582,44.0,2.203125,15.5,,,31.0,0.0,0,1813
250801477,0.6370967741935487,0.089430894308943,124,0.0,0.0,0.0,1.7419354838709675,,,,,0.0,0,1815
2247481022,1.3781818181818182,0.2090729783037474,550,0.0072727272727272,0.0012708545533382,4.0,2.1090909090909093,,,,,0.0018181818181818,0,1816
2433465674,7.0,0.0,1,0.0,0.0,0.0,2.0,,,,,0.0,0,1818
414088516,15.4,0.0,5,0.0,0.0,0.0,2.0,,,,,0.0,0,1818
2109246749,7.0,0.0,1,0.0,0.0,0.0,2.0,,,,,0.0,0,1818
2103608249,2.4571428571428573,1.25,35,1.0571428571428567,0.0637271120393792,33.0,1.8285714285714283,4.166666666666667,33.0,9.433981132056605,5.5,0.0857142857142857,0,1820
2163647857,34.84662576687118,8.487603305785125,163,12.085889570552148,0.2240164004206685,153.0,2.128834355828221,9.90208185838438,6.0,9.154131907690836,9.678571428571427,0.0429447852760736,0,1820
2438476567,2.9323467230443963,0.2429501084598699,473,0.0,0.0,0.0,1.9513742071881608,28.25,,,27.5,0.0,0,1823
2111974836,1.0638297872340423,0.3249999999999999,47,0.0638297872340425,0.0192146805742966,1.0,1.5319148936170213,7.25,,,14.5,0.0,0,1823
305622547,15.020833333333329,3.0985915492957727,96,0.0,0.0,0.0,1.4062500000000009,115.19854469854472,,,163.92307692307693,0.0,0,1825
411610982,3.316239316239317,0.5178571428571426,117,0.0,0.0,0.0,2.230769230769231,10.5,,,21.0,0.0085470085470085,0,1828
2158849122,25.02392344497607,16.212534059945508,418,16.32775119617225,0.7461206266688766,164.0,4.667464114832536,4.776581220569078,248.6308411214952,99.37201669036844,5.114982578397213,0.7583732057416269,173,1828
2489709517,0.6194444444444441,0.1388101983002832,360,0.0027777777777777,0.0008361944323999,1.0,2.0333333333333328,92.0,,,93.0,0.0055555555555555,0,1829
2573439273,3.333333333333333,0.4591836734693878,108,0.0185185185185185,0.0055746295493329,1.0,1.3888888888888893,11.953265765765764,,,19.625,0.0185185185185185,0,1829
2178894551,3.539083557951483,0.3880597014925373,371,0.0107816711590296,0.0018840161841941,4.0,2.7115902964959564,14.333333333333336,,,28.666666666666668,0.0161725067385444,0,1829
2329261501,59.51115485564304,36.38128249566724,1524,23.24278215223096,1.0231803396948498,382.0,6.368110236220472,3.7333153471070744,172.64049195837276,111.09664346243586,4.051386623164763,1.5223097112860888,836,1830
246898146,3.7679999999999993,0.2764227642276423,125,0.0,0.0,0.0,2.464,49.8,,,57.4,0.0,0,1831
2889787614,9.421052631578947,0.0526315789473684,19,0.0,0.0,0.0,1.1578947368421055,,,,,0.0,0,1831
2434836549,2.0682926829268293,0.166358595194085,615,0.0032520325203252,0.0007758069182433,2.0,1.7349593495934958,,,,,0.0065040650406504,0,1833
2428524834,0.0,0.0,1,0.0,0.0,0.0,2.0,,,,,0.0,0,1834
2474495204,45.26499454743728,27.07456140350877,917,18.665212649945467,0.8577507981586572,542.0,5.062159214830968,4.880475878809304,145.283185840708,122.07319071966216,4.878518518518521,0.1155943293347874,10317,1834
