PaperID,C5
2607682148,0
2462666543,0
2567429265,0
2501390148,0
2508023056,0
2500256758,0
2588385624,0
2470083140,0
2786667973,0
2783064756,0
2440148794,0
2565580504,0
2519617708,0
2557506874,0
2320232082,0
2163743276,0
2564966899,0
2789923248,0
2517369848,0
2227070927,0
2942684877,0
2602675791,0
2562096402,0
2526328046,0
2301852368,0
2979672016,0
2586408843,0
2579684744,0
2529639180,0
2793776256,0
2513615137,0
2493361582,0
3085306448,0
2603076234,0
2528800295,0
2988878337,0
2587077458,0
2565874722,0
2483695132,0
2978209061,0
2416356909,0
2911120962,0
2400813588,0
3023704063,0
2908285701,0
2886848240,0
2553753297,0
2910001076,0
615334800,0
3102228288,0
2611346225,0
2520319611,0
2608073134,0
2516867946,0
2915048518,0
2462006728,0
2502472181,0
3112247017,0
2578108819,0
2597030700,0
2550276654,0
2963315517,0
3118131923,0
2534878771,0
2306391630,0
2580154098,0
2612852796,0
2989533074,0
2524439387,0
2737252564,0
2909191942,0
2599571434,0
2520894238,0
3010675858,0
2510162891,0
2956127032,0
2809781802,0
2566486942,0
2600246433,0
2384760135,0
2586590724,0
2600751248,0
2803239089,0
2417132284,0
2620414751,0
2508456137,0
2579927820,0
2323232782,0
2510825362,0
2516204138,0
2522868193,0
2616922816,0
3154605389,0
2558887176,0
2954753343,0
2563655381,0
2469073499,0
2461398079,0
3153353850,0
2767194074,0
2523024307,0
3153987939,0
2508176758,0
2744327700,0
2321411576,0
2344151666,0
2476630312,0
2493891049,0
2508420870,0
2493063626,0
2610278406,0
2529561421,0
2521432877,0
2498618720,0
3214235014,0
3009520505,0
3209976801,0
3156025002,0
2747504707,0
2472849997,0
2563259588,0
2523410407,0
2552137974,0
2536194203,0
2582842214,0
2553221366,0
2172998908,0
2358554005,0
3088935554,0
1618063820,0
2294582393,0
2584893440,0
2560096755,0
2350964396,0
2915272161,0
2529923401,0
2484310222,0
2909729428,0
2786713496,0
2918769475,0
2556503493,0
2493611880,0
2593266636,0
2487121065,0
2516653023,0
2950723319,0
2965443226,0
2786081877,0
2309620154,0
3044789077,0
2567489023,0
2994820270,0
2489216732,0
2486748797,0
2411003874,0
2258570407,0
3122630850,0
3166950206,0
2410450891,0
2944487718,0
2803457445,0
2598525686,0
2611389343,0
2461775221,0
2343225961,0
2486189756,0
2896508052,0
3002169163,0
2737055580,0
3107507389,0
2499535473,0
2485633707,0
