AuthorID,PaperID
2315153452,948454
2143101752,973027
2767953061,1435264
2164785219,1721811
2368254769,2585372
2722649031,2756294
2575530625,2756294
2702158296,2756294
1826409667,2756294
2648145106,5770643
2133348734,7380096
1159400158,7380096
2047653282,7380096
1920808880,8461667
2488651774,11402875
2060034360,11402875
2108967558,15925891
3215034815,16194193
210350316,16194193
1562057081,17344169
2697728883,20145123
2623936050,21732959
754526371,21732959
2776238253,24342448
2104106966,24342448
2527708549,24342448
748507223,25517813
2444034136,25655047
2537832498,26336709
2140606082,26336709
1582135878,26336709
1843987001,27078247
2228653846,27716194
3185251729,38665418
2715497652,41612980
2699601667,43758064
2531487520,45661254
2110067265,47152349
2251529673,48551328
2434836549,52597737
2786062488,55448126
282203760,55710973
2592809091,58964488
2663128755,62311429
2734780412,70182349
1821206933,72318971
2107038171,74863571
2125107871,75993270
2885371410,79314644
2691657685,83040904
2711098442,93969200
2099534433,95379939
2599193345,95379939
2664982862,96792854
2432236427,102335418
2106057847,103552317
2110161290,105579625
2172195146,105579625
2991191956,109616934
2108967558,111455031
2238676708,111510984
2708499044,113145576
2659040118,113145576
2501735857,113145576
2905712202,114491209
2906486162,114491209
2159314280,114797367
2329535451,115377556
2704495872,117329356
2316277333,118680955
3022944967,119448166
2134474647,127422594
2528978848,127610596
2022178713,130953950
2434836549,132015747
2116350724,133113270
2643539832,137596815
2805222475,143593669
304287033,144086985
2415969429,144955998
2337249585,144955998
2074559208,144955998
159218002,150981969
2146968234,154939580
2618182282,154939981
2654973437,156547786
2610378091,160775318
2200059011,161522454
2529684406,166898311
2119336848,170524150
2017343480,177086265
2299037015,177086265
2532155691,177086779
2061816210,177353877
2338825760,181719936
2310024420,184267668
2402157609,185176610
2572881955,189607546
2702060448,195946464
1973509171,196390965
2707352996,196808207
3132678833,197590092
2029467759,199333153
2107998125,201175511
2920270872,201175511
2155492315,204082234
336808563,208903527
1289324836,208903527
2496755166,208903527
2115754872,211604792
2103934673,213122969
1788129784,213122969
2693981820,213403006
2616510749,221426934
1951882599,232700623
1994160832,235616137
242820926,235964329
2166269414,242131698
2050870929,242131698
2442327254,243016802
2618618295,246573840
1397802307,250877425
2123892858,252461416
2485465279,260351247
2500020177,267046740
2582419560,271524336
2503979543,281220640
1963816117,284103155
2551744225,284539508
2175987656,284823839
2550081936,285105210
2648226178,286089077
2077873288,291663313
2149534640,291663313
2143177319,297621004
2115083989,297621004
2712809961,297688220
2612129015,298677598
2496574142,299876291
2557743666,310273066
2779622785,310273066
2434405463,314228522
2232196335,314361173
2494246032,316622640
2735318221,322919321
2786621248,323139939
2659885303,326757156
1975168198,327078956
2163279325,339987527
2274613288,350417089
651494094,351416490
31481817,351416490
3213573522,355100380
2104635309,355965432
2013047332,355977212
2166732052,362595158
2096056248,367188648
2071876023,377653292
2271659177,381432013
2472015987,386146759
2072872815,391942283
2311061598,393960066
1961170997,394328462
2724882799,400171503
2035280041,402696359
2159719033,403788059
2243895201,405619044
2407426407,405823910
2403553059,405823910
3024614773,409759239
1750306914,411181861
418386343,418156873
2707230552,419141700
2101988985,420414885
381710897,420414885
2111517210,426149592
2113753509,428316824
2132977506,560808912
2169217358,561016930
5302329,561226508
2166489098,561226508
2098837784,561226508
2689864345,561226508
2302984081,561351099
2462522438,563028984
1827370930,563028984
250738843,563028984
2588094977,563216060
2151180052,563894490
341761151,565382154
2151378567,566916007
1234805758,568055988
2947645261,568055988
1947576283,569638014
3189268237,569719764
2105023167,570627958
2134058110,570883047
1041203403,571293739
1899551811,571293739
2805981317,571594808
2971658267,572083261
2168847999,572268597
2291101096,572375694
2525335017,572375694
3134957733,572950640
2517990576,573897131
1977906677,574319270
2313523589,574319270
2096951538,574319270
2391544498,574390873
2598250864,575464777
581062087,575464777
2117091947,575588940
2004235813,577161432
2098365721,577390924
2294060436,578004029
2164881810,578176672
15232934,578199052
2439918923,578222193
1858634742,578694155
2302917593,579216139
2398644580,579982080
2108844962,580186969
3037310848,580318797
1719065764,580511755
2096999621,580743268
2147923286,581196803
3045476054,581349545
3045319689,581349545
3044187025,581349545
2056401143,581404054
1480421779,581909835
1997769260,581909835
1996040667,581909835
707262202,581909835
2432118374,582388936
2665637781,583114971
763155079,583684893
3126483010,583741299
3192224961,583741299
2059796262,583768151
2274988087,585330945
2522416350,586141170
2076268955,587090245
2102595732,587090245
3120706049,587354241
2118058953,588133971
2795586140,588509454
2123265113,588522231
2101064302,588922758
2496036752,589906527
2618461246,590546862
2105891298,591250921
2014264749,592755963
2585962966,593753497
2166608128,594931145
1825584253,596422859
2970210219,597313189
1540415276,598440768
2918442566,598756518
3134960655,601163315
2259571486,601936472
2134682519,601962557
2121357097,602156807
2119501049,602210677
2106950188,602210677
2124444750,603182787
2344236471,609575184
2078222382,609575184
2036953795,609575184
2646256137,609992693
2166475024,610909518
2342790541,611610921
2428524834,611610921
2639908632,612355334
2162801044,613750198
2568231997,613811009
